Sample Status,Report Status,Date Reported,Asset ID,Unit ID,Unit Description,Asset Class,Position,Tested Lubricant,Service Level,Sample Bottle ID,Manufacturer,Alt Manufacturer,Model,Alt Model,Serial Number,Account Name,Account ID,Oil Rating,Contamination Rating,Equipment Rating,Parent Account Name,Parent Account ID,ERP Account Number,Days Since Sampled,Date Sampled,Date Registered,Date Received,Country,Laboratory,Business Lines,Fully Qualified,LIMS Sample ID,Schedule,Tested Lubricant ID,Registered Lubricant,Registered Lubricant ID,Zone,Work ID
Completed,Alert,2019-05-02T09:11:09,50039212,C15107,Freightliner Cascadia,Engine,FRONT,FT-IRON HORSE 5W-30,Enhanced,b028929792,DETROIT DIESEL,,DD13 EGR,,,Frito Lay PC-11B Field Test - Aberdeen Traffic Center,400842,Normal,Alert,Alert,ExxonMobil Research & Engineering Signum Oil Analysis Testing,203640,,60,2019-04-03T00:00:00,2019-04-03T19:28:49,2019-04-29T20:39:12,US,Kansas City,CVL (Commercial Vehicle Line),,19119352049,XD1DV_S,99770,FT-IRON HORSE 5W-30,99770,AMR-North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Completed,Alert,2019-05-02T09:14:20,50039207,C15102,Freightliner Cascadia,Engine,FRONT,FT-IRON HORSE 5W-30,Enhanced,b028565525,DETROIT DIESEL,,DD13 EGR,,,Frito Lay PC-11B Field Test - Aberdeen Traffic Center,400842,Normal,Normal,Alert,ExxonMobil Research & Engineering Signum Oil Analysis Testing,203640,,60,2019-04-03T00:00:00,2019-04-03T19:38:45,2019-04-29T20:39:59,US,Kansas City,CVL (Commercial Vehicle Line),,19119352057,XD1DV_S,99770,FT-IRON HORSE 5W-30,99770,AMR-North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Completed,Alert,2019-05-02T09:11:44,50039206,C15098,Freightliner Cascadia,Engine,FRONT,FT-IRON HORSE 5W-30,Enhanced,b028898153,DETROIT DIESEL,,DD13 EGR,,,Frito Lay PC-11B Field Test - Aberdeen Traffic Center,400842,Normal,Normal,Alert,ExxonMobil Research & Engineering Signum Oil Analysis Testing,203640,,60,2019-04-03T00:00:00,2019-04-03T19:42:42,2019-04-29T20:41:01,US,Kansas City,CVL (Commercial Vehicle Line),,19119352059,XD1DV_S,99770,FT-IRON HORSE 5W-30,99770,AMR-North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Completed,Alert,2019-05-02T09:14:32,50087137,C15099,Freightliner Cascadia,Engine,FRONT,FT-IRON HORSE 5W-30,Enhanced,b028855935,DETROIT DIESEL,,DD13 EGR,,,Frito Lay PC-11B Field Test - Aberdeen Traffic Center,400842,Normal,Caution,Alert,ExxonMobil Research & Engineering Signum Oil Analysis Testing,203640,,60,2019-04-03T00:00:00,2019-04-03T19:44:57,2019-04-29T20:39:35,US,Kansas City,CVL (Commercial Vehicle Line),,19119352053,XD1DV_S,99770,FT-IRON HORSE 5W-30,99770,AMR-North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Completed,Alert,2019-05-02T09:11:02,50009562,C14747,Volvo OTR Tractor,Engine - Natural Gas,,FT-IRON HORSE 5W-30,Enhanced,b028899608,CUMMINS,,ISX12 G,,,Frito Lay PC-11B Field Test - Aberdeen Traffic Center,400842,Alert,Alert,Alert,ExxonMobil Research & Engineering Signum Oil Analysis Testing,203640,,60,2019-04-03T00:00:00,2019-04-03T19:48:47,2019-04-29T20:38:47,US,Kansas City,CVL (Commercial Vehicle Line),,19119178009,XNG_S,99770,FT-IRON HORSE 5W-30,99770,AMR-North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Completed,Alert,2019-05-06T11:16:46,50161202,147-FS-P-3101 B-DE,Unidad de generador diesel de emergencia (motor),Engine,,MOBIL DELVAC MX  15W40,Enhanced,b036995882,CATERPILLAR,,NOT LISTED,-,,ECOPETROL -  REFINERIA DE CARTAGENA / PRS - UNIDAD DE CONTROL DE EMERGENCIAS,408958,Normal,Alert,Normal,ECOPETROL -  REFINERIA DE CARTAGENA,236452,0000120501,60,2019-04-03T00:00:00,2019-04-07T22:00:00,2019-05-02T21:14:39,CO,Bogota,Industrial,,BO9122863310,E1_S,44104,MOBIL DELVAC MX  15W40,44104,AMR-South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Completed,Alert,2019-05-06T11:16:46,50210304,147-FS-P-3002 C,Unidad de generador diesel de emergencia (motor),Engine,,MOBIL DELVAC MX ESP 15W40,Enhanced,b036165388,CATERPILLAR,,NOT LISTED,-,,ECOPETROL -  REFINERIA DE CARTAGENA / PRS - UNIDAD DE CONTROL DE EMERGENCIAS,408958,Normal,Alert,Alert,ECOPETROL -  REFINERIA DE CARTAGENA,236452,0000120501,61,2019-04-02T00:00:00,2019-04-07T22:05:35,2019-05-02T21:13:49,CO,Bogota,Industrial,,BO9122863301,E1_S,44465,MOBIL DELVAC MX ESP 15W40,44465,AMR-South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Completed,Alert,2019-05-14T08:55:09,50366105,TAV-008,MOTOR CUMMINS,Engine,,MOBIL DELVAC 1 ESP 5W40 CK4,Essential,a001991834,CUMMINS,,ISX,,,Compañia de Lubricantes Villavicencio,412000,Normal,Normal,Alert,COMPAÑIA DE LUBRICANTES,211474,0000120948,53,2019-04-10T00:00:00,2019-04-10T16:39:46,2019-05-13T18:17:08,CO,Bogota,Industrial,,BO9133192327,E1_E,44611,MOBIL DELVAC 1 ESP 5W40 CK4,44611,AMR-South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Completed,Alert,2019-05-20T05:45:21,50085746,926,buseton Chevrolet NPR 2012,Engine,FRONT,MOBIL DELVAC MX ESP 15W40,Essential,a012910917,ISUZU,,DIESEL.,,,DYC Equipos S.A.S.,253431,Normal,Caution,Alert,LUBRICANTES TECNICOS,211479,0000225736,53,2019-04-10T00:00:00,2019-04-10T18:24:28,2019-05-17T18:34:41,CO,Bogota,CVL (Commercial Vehicle Line),,BO9137265310,E1_E,44465,MOBIL DELVAC MX ESP 15W40,44465,AMR-South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Completed,Caution,2019-05-20T05:45:20,50491557,623,BUSETA FRR,Engine,FRONT,MOBIL DELVAC MX ESP 15W40,Essential,a012910368,CHEVROLET,,DIESEL.,,,DYC Equipos S.A.S.,253431,Normal,Caution,Normal,LUBRICANTES TECNICOS,211479,0000225736,53,2019-04-10T00:00:00,2019-04-10T18:28:09,2019-05-17T18:29:34,CO,Bogota,CVL (Commercial Vehicle Line),,BO9137263327,E1_E,44465,MOBIL DELVAC MX ESP 15W40,44465,AMR-South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
